final_decision_id,coordinator_group_id,scenario_name,realization_id,module_name,module_priority,decision_source_sector_id,decision_target_sector_id,source_sector_id,target_sector_id,coordinator_affected_sector_id,application_affected_sector_id,application_state_variable,affected_sector_id,affected_parameter,selected_action_id_safe,accepted_action_type,final_decision_status,executable_flag,not_applied_flag,safety_valid,fallback_used,noop_selected,unresolved_fallback_flag,rejection_reason,conflict_id,conflict_type,final_candidate_rank,predicted_reward,true_reward,safety_enforced_regret,delta_prs_dB,delta_tilt_deg,delta_cio_dB,delta_hom_dB,delta_ttt_ms,es_action,implementability_status,simulator_state_variable,required_simulator_function,implementation_gap_reason,can_apply_in_phase12b,dry_run_only_flag
212,39,low_load,1,ES,6,9,9,9,9,9,9,sectors.is_sleeping,9,ES_state,19316,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
217,39,low_load,1,ES,6,16,16,16,16,16,16,sectors.is_sleeping,16,ES_state,19330,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
219,39,low_load,1,ES,6,18,18,18,18,18,18,sectors.is_sleeping,18,ES_state,19336,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
220,39,low_load,1,ES,6,19,19,19,19,19,19,sectors.is_sleeping,19,ES_state,19339,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,6,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
224,41,low_load,2,ES,6,1,1,1,1,1,1,sectors.is_sleeping,1,ES_state,19417,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
225,41,low_load,2,ES,6,2,2,2,2,2,2,sectors.is_sleeping,2,ES_state,19420,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
234,41,low_load,2,ES,6,13,13,13,13,13,13,sectors.is_sleeping,13,ES_state,19447,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
235,41,low_load,2,ES,6,14,14,14,14,14,14,sectors.is_sleeping,14,ES_state,19450,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
237,41,low_load,2,ES,6,16,16,16,16,16,16,sectors.is_sleeping,16,ES_state,19456,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
238,41,low_load,2,ES,6,17,17,17,17,17,17,sectors.is_sleeping,17,ES_state,19459,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,6,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
242,41,low_load,2,ES,6,21,21,21,21,21,21,sectors.is_sleeping,21,ES_state,19471,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,7,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
243,42,normal,2,ES,6,2,2,2,2,2,2,sectors.is_sleeping,2,ES_state,19529,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
245,42,normal,2,ES,6,21,21,21,21,21,21,sectors.is_sleeping,21,ES_state,19535,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
246,2,degraded_sector,3,ES,6,10,10,10,10,10,10,sectors.is_sleeping,10,ES_state,19549,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
248,43,low_load,3,ES,6,2,2,2,2,2,2,sectors.is_sleeping,2,ES_state,19557,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
255,43,low_load,3,ES,6,9,9,9,9,9,9,sectors.is_sleeping,9,ES_state,19578,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
258,43,low_load,3,ES,6,12,12,12,12,12,12,sectors.is_sleeping,12,ES_state,19587,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
261,43,low_load,3,ES,6,17,17,17,17,17,17,sectors.is_sleeping,17,ES_state,19596,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
262,43,low_load,3,ES,6,18,18,18,18,18,18,sectors.is_sleeping,18,ES_state,19599,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
264,43,low_load,3,ES,6,21,21,21,21,21,21,sectors.is_sleeping,21,ES_state,19605,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,6,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
270,46,normal,4,ES,6,12,12,12,12,12,12,sectors.is_sleeping,12,ES_state,19802,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
273,24,outage_sector,5,ES,6,13,13,13,13,13,13,sectors.is_sleeping,13,ES_state,19945,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
277,47,low_load,8,ES,6,5,5,5,5,5,5,sectors.is_sleeping,5,ES_state,20209,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
280,47,low_load,8,ES,6,8,8,8,8,8,8,sectors.is_sleeping,8,ES_state,20218,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
281,47,low_load,8,ES,6,10,10,10,10,10,10,sectors.is_sleeping,10,ES_state,20221,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
285,47,low_load,8,ES,6,15,15,15,15,15,15,sectors.is_sleeping,15,ES_state,20231,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
286,47,low_load,8,ES,6,16,16,16,16,16,16,sectors.is_sleeping,16,ES_state,20234,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
288,47,low_load,8,ES,6,18,18,18,18,18,18,sectors.is_sleeping,18,ES_state,20240,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,6,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
290,47,low_load,8,ES,6,21,21,21,21,21,21,sectors.is_sleeping,21,ES_state,20246,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,7,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
294,49,low_load_energy_saving_candidate,9,ES,6,3,3,3,3,3,3,sectors.is_sleeping,3,ES_state,20378,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
296,49,low_load_energy_saving_candidate,9,ES,6,5,5,5,5,5,5,sectors.is_sleeping,5,ES_state,20384,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
300,49,low_load_energy_saving_candidate,9,ES,6,10,10,10,10,10,10,sectors.is_sleeping,10,ES_state,20396,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
302,49,low_load_energy_saving_candidate,9,ES,6,12,12,12,12,12,12,sectors.is_sleeping,12,ES_state,20402,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
307,49,low_load_energy_saving_candidate,9,ES,6,17,17,17,17,17,17,sectors.is_sleeping,17,ES_state,20416,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
309,49,low_load_energy_saving_candidate,9,ES,6,20,20,20,20,20,20,sectors.is_sleeping,20,ES_state,20422,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,6,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
310,49,low_load_energy_saving_candidate,9,ES,6,21,21,21,21,21,21,sectors.is_sleeping,21,ES_state,20425,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,7,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
314,51,normal,13,ES,6,19,19,19,19,19,19,sectors.is_sleeping,19,ES_state,20920,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
320,52,low_load_energy_saving_candidate,14,ES,6,6,6,6,6,6,6,sectors.is_sleeping,6,ES_state,21003,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
327,52,low_load_energy_saving_candidate,14,ES,6,14,14,14,14,14,14,sectors.is_sleeping,14,ES_state,21022,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
330,52,low_load_energy_saving_candidate,14,ES,6,17,17,17,17,17,17,sectors.is_sleeping,17,ES_state,21031,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
331,52,low_load_energy_saving_candidate,14,ES,6,18,18,18,18,18,18,sectors.is_sleeping,18,ES_state,21034,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
340,54,low_load_energy_saving_candidate,15,ES,6,7,7,7,7,7,7,sectors.is_sleeping,7,ES_state,21134,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
343,54,low_load_energy_saving_candidate,15,ES,6,10,10,10,10,10,10,sectors.is_sleeping,10,ES_state,21143,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
345,54,low_load_energy_saving_candidate,15,ES,6,12,12,12,12,12,12,sectors.is_sleeping,12,ES_state,21149,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
346,54,low_load_energy_saving_candidate,15,ES,6,13,13,13,13,13,13,sectors.is_sleeping,13,ES_state,21152,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
348,54,low_load_energy_saving_candidate,15,ES,6,15,15,15,15,15,15,sectors.is_sleeping,15,ES_state,21158,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,5,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
349,54,low_load_energy_saving_candidate,15,ES,6,16,16,16,16,16,16,sectors.is_sleeping,16,ES_state,21161,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,6,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
351,54,low_load_energy_saving_candidate,15,ES,6,18,18,18,18,18,18,sectors.is_sleeping,18,ES_state,21167,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,7,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
352,54,low_load_energy_saving_candidate,15,ES,6,19,19,19,19,19,19,sectors.is_sleeping,19,ES_state,21170,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,8,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
359,34,handover_stress,16,ES,6,18,18,18,18,18,18,sectors.is_sleeping,18,ES_state,21197,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
366,56,low_load_energy_saving_candidate,18,ES,6,1,1,1,1,1,1,sectors.is_sleeping,1,ES_state,21513,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
382,56,low_load_energy_saving_candidate,18,ES,6,18,18,18,18,18,18,sectors.is_sleeping,18,ES_state,21560,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
385,56,low_load_energy_saving_candidate,18,ES,6,21,21,21,21,21,21,sectors.is_sleeping,21,ES_state,21569,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
390,57,low_load,19,ES,6,6,6,6,6,6,6,sectors.is_sleeping,6,ES_state,21602,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,1,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
391,57,low_load,19,ES,6,7,7,7,7,7,7,sectors.is_sleeping,7,ES_state,21605,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,2,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
392,57,low_load,19,ES,6,8,8,8,8,8,8,sectors.is_sleeping,8,ES_state,21608,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,3,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
397,57,low_load,19,ES,6,15,15,15,15,15,15,sectors.is_sleeping,15,ES_state,21622,sleep,final_safe_action,1,1,1,0,0,0,,NaN,,4,0.249991236833438,0.25,0,0,0,0,0,0,sleep,partially_implementable,"sectors.referencePowerOffset_dB, sectors.txPowerOffset_dB, sectors.status",NEW helper required (apply_sector_sleep),"Sleep can be approximated by setting both power offsets to a large negative value (the Phase 3 outage trick), but the simulator has no native sleep/active state and no wake transition tracking.",0,1
